Dane pochodz± z serwisu Money.pl https://www.money.pl/
Data,Warto¶æ,Zmiana [%]
"2023-06-02","5,19","+0,50"
"2023-06-01","5,16","-0,58"
"2023-05-31","5,19","+0,44"
"2023-05-30","5,17","+0,32"
"2023-05-26","5,15","-0,12"
"2023-05-25","5,16","+0,37"
"2023-05-24","5,14","+0,06"
"2023-05-23","5,14","+0,22"
"2023-05-22","5,13","-0,25"
"2023-05-19","5,14","-0,17"
"2023-05-18","5,15","+0,31"
"2023-05-17","5,13","+0,41"
"2023-05-16","5,11","+0,07"
"2023-05-15","5,11","+0,04"
"2023-05-12","5,11","-0,04"
"2023-05-11","5,11","-0,01"
"2023-05-10","5,11","+0,04"
"2023-05-09","5,11","+0,03"
"2023-05-05","5,10","+0,11"
"2023-05-04","5,10","+0,34"
"2023-05-03","5,08","-0,24"
"2023-05-02","5,09","+0,63"
"2023-04-28","5,06","+0,56"
"2023-04-27","5,03","+0,19"
"2023-04-26","5,02","+0,14"
"2023-04-25","5,02","+0,03"
"2023-04-24","5,02","-0,09"
"2023-04-21","5,02","+0,21"
"2023-04-20","5,01","+0,56"
"2023-04-19","4,98","+0,60"
"2023-04-18","4,95","+0,03"
"2023-04-17","4,95","-0,16"
"2023-04-14","4,96","+0,24"
"2023-04-13","4,95","+0,04"
"2023-04-12","4,95","+0,17"
"2023-04-11","4,94","+0,76"
"2023-04-06","4,90","+0,21"
"2023-04-05","4,89","+0,39"
"2023-04-04","4,87","+0,28"
"2023-04-03","4,86","+0,00"
"2023-03-31","4,86","+0,21"
"2023-03-30","4,85","+0,15"
"2023-03-29","4,84","-0,38"
"2023-03-28","4,86","+0,13"
"2023-03-27","4,85","+0,45"
"2023-03-24","4,83","-0,30"
"2023-03-23","4,85","+1,01"
"2023-03-22","4,80","+0,37"
"2023-03-21","4,78","+0,57"
"2023-03-20","4,75","-0,53"
Liczba wierszy ograniczona do 50
