Dane pochodz± z serwisu Money.pl https://www.money.pl/
Data,Warto¶æ,Zmiana [%]
"2021-01-12","0,13","+0,99"
"2021-01-11","0,13","-0,30"
"2021-01-08","0,13","-4,71"
"2021-01-07","0,13","+0,48"
"2021-01-06","0,13","+0,86"
"2021-01-05","0,13","-6,35"
"2021-01-04","0,14","-2,87"
"2020-12-31","0,14","-0,08"
"2020-12-30","0,14","-1,87"
"2020-12-29","0,15","+1,12"
"2020-12-24","0,15","-1,94"
"2020-12-23","0,15","+3,32"
"2020-12-22","0,14","-1,38"
"2020-12-21","0,15","+1,04"
"2020-12-18","0,14","-5,20"
"2020-12-17","0,15","-3,96"
"2020-12-16","0,16","+3,53"
"2020-12-15","0,15","-0,41"
"2020-12-14","0,15","-3,47"
"2020-12-11","0,16","+3,09"
"2020-12-10","0,15","+4,06"
"2020-12-09","0,15","-0,58"
"2020-12-08","0,15","+2,06"
"2020-12-07","0,15","-4,58"
"2020-12-03","0,15","+0,41"
"2020-12-02","0,15","+3,05"
"2020-12-01","0,15","-3,75"
"2020-11-30","0,15","-0,89"
"2020-11-27","0,15","+6,36"
"2020-11-25","0,15","+1,75"
"2020-11-24","0,14","-4,75"
"2020-11-23","0,15","+0,00"
"2020-11-20","0,15","+3,18"
"2020-11-19","0,15","-0,68"
"2020-11-18","0,15","-2,01"
"2020-11-17","0,15","+4,18"
"2020-11-16","0,14","+5,22"
"2020-11-13","0,14","-3,19"
"2020-11-12","0,14","+0,54"
"2020-11-10","0,14","+7,89"
"2020-11-09","0,13","+1,67"
"2020-11-06","0,13","+0,88"
"2020-11-05","0,13","-6,98"
"2020-11-04","0,14","-1,09"
"2020-11-03","0,14","-2,04"
"2020-11-02","0,14","+0,18"
"2020-10-30","0,14","-5,95"
"2020-10-29","0,15","+0,93"
"2020-10-28","0,15","+2,16"
"2020-10-27","0,14","-4,53"
Liczba wierszy ograniczona do 50
