,CAPE,Date,Price,Return_5y,Return_1y,Return_1m,CAPE_Bucket_Full,CAPE_Bucket_Full_Lagged_5y,Perc_0.2_Roll,Perc_0.4_Roll,Perc_0.6_Roll,Perc_0.8_Roll,CAPE_Bucket_Roll,CAPE_Bucket_Roll_Lagged_5y,CAPE_Bucket_Roll_Lagged_1y,CAPE_Bucket_Roll_Lagged_1m,EP,Roll_Median,Roll_Perc_0.05,Roll_Perc_0.95,Value
0,9.76,1982-01-31,,,,,e)Below18.8,,9.76,9.76,9.76,9.76,5,,,,0.10245901639344263,0.10245901639344263,0.10245901639344263,0.10245901639344263,
1,9.85,1982-02-28,,,,,e)Below18.8,,9.778,9.796,9.814,9.831999999999999,1,,,5.0,0.10152284263959391,0.10199092951651827,0.10156965132728635,0.10241220770575019,
2,10.13,1982-03-31,,,,,e)Below18.8,,9.796,9.831999999999999,9.906,10.018,1,,,1.0,0.09871668311944717,0.10152284263959391,0.09899729907146185,0.10236539901805776,
3,10.12,1982-04-30,,,,,e)Below18.8,,9.814,9.904,10.065999999999999,10.124,2,,,1.0,0.09881422924901187,0.10016853594430289,0.09873131503888188,0.10231859033036532,
4,9.55,1982-05-31,,,,,e)Below18.8,,9.718,9.814,9.958,10.122,5,,,2.0,0.10471204188481674,0.10152284263959391,0.09873619234536012,0.10426143678654191,
5,9.18,1982-06-30,,,,,e)Below18.8,,9.55,9.76,9.85,10.12,5,,,5.0,0.10893246187363835,0.10199092951651827,0.09874106965183835,0.10787735687643295,
6,9.19,1982-07-31,,,,,e)Below18.8,,9.262,9.634,9.814,10.065999999999999,5,,,5.0,0.1088139281828074,0.10245901639344263,0.09874594695831658,0.10889690176638907,
7,9.05,1982-08-31,,,,,e)Below18.8,,9.184,9.478,9.778,10.011999999999999,5,,,5.0,0.11049723756906077,0.10358552913912969,0.09875082426479481,0.10994956607566292,
8,9.59,1982-09-30,,,,,e)Below18.8,,9.186,9.558,9.725999999999999,9.958,3,,,5.0,0.10427528675703858,0.10427528675703858,0.09875570157127306,0.1098713272908918,
9,9.62,1982-10-31,,,,,e)Below18.8,,9.187999999999999,9.574,9.676,9.904,3,,,3.0,0.10395010395010396,0.10411269535357126,0.09876057887775129,0.10979308850612068,
10,9.82,1982-11-30,,,,,e)Below18.8,,9.19,9.59,9.76,9.85,2,,,3.0,0.10183299389002036,0.10395010395010396,0.09876545618422952,0.10971484972134957,
11,10.51,1982-12-31,,,,,e)Below18.8,,9.262,9.602,9.796,10.065999999999999,1,,,2.0,0.09514747859181732,0.10320456017177329,0.09711054108201374,0.10963661093657844,
12,10.35,1983-01-31,,,,,e)Below18.8,,9.334,9.613999999999999,9.826,10.126,1,,5.0,1.0,0.0966183574879227,0.10245901639344263,0.09603000592948055,0.10955837215180732,
13,11.06,1983-02-28,,,,,e)Below18.8,,9.406,9.648,9.844,10.218,1,,1.0,1.0,0.09041591320072333,0.1021460051417315,0.09349143070493443,0.1094801333670362,
14,12.49,1983-03-31,,,,,e)Below18.8,,9.478,9.703999999999999,9.958,10.382,1,,1.0,1.0,0.08006405124099279,0.10183299389002036,0.08731035461280416,0.10940189458226507,
15,13.3,1983-04-30,,,,,e)Below18.8,,9.55,9.76,10.12,10.51,1,,2.0,1.0,0.07518796992481203,0.10167791826480713,0.0788450309119476,0.10932365579749395,
16,12.1,1983-05-31,,,,,e)Below18.8,,9.558,9.784,10.126,10.950000000000001,1,,5.0,1.0,0.08264462809917356,0.10152284263959391,0.07908883497775664,0.10924541701272283,
17,12.66,1983-06-30,,,,,e)Below18.8,,9.566,9.808,10.174000000000001,11.684000000000001,1,,5.0,1.0,0.07898894154818326,0.10016853594430289,0.07841879580467757,0.10916717822795172,
18,13.08,1983-07-31,,,,,e)Below18.8,,9.574,9.826,10.306,12.256,1,,5.0,1.0,0.0764525993883792,0.09881422924901187,0.07632613644202248,0.10908893944318059,
19,12.23,1983-08-31,,,,,e)Below18.8,,9.582,9.838,10.414,12.282,2,,5.0,1.0,0.08176614881439084,0.09876545618422952,0.07638936791520085,0.10901070065840947,
20,12.57,1983-09-30,,,,,e)Below18.8,,9.59,9.85,10.51,12.49,1,,3.0,2.0,0.07955449482895784,0.09871668311944717,0.0764525993883792,0.10893246187363835,
21,13.7,1983-10-31,,,,,e)Below18.8,,9.596,9.958,10.84,12.554,1,,3.0,1.0,0.07299270072992702,0.09766752030368495,0.07525120139799038,0.1089265351890968,
22,14.01,1983-11-30,,,,,e)Below18.8,,9.602,10.065999999999999,11.267999999999999,12.624,1,,2.0,1.0,0.07137758743754462,0.0966183574879227,0.07321222764941551,0.10892060850455526,
23,14.19,1983-12-31,,,,,e)Below18.8,,9.607999999999999,10.122,11.892,12.828000000000001,1,,1.0,1.0,0.07047216349541931,0.09588291803987001,0.07161985443140198,0.10891468182001371,
24,14.61,1984-01-31,,,,,e)Below18.8,,9.613999999999999,10.126,12.152,13.124,1,,1.0,1.0,0.06844626967830253,0.09514747859181732,0.07065324828384437,0.10890875513547216,
25,13.91,1984-02-29,,,,,e)Below18.8,,9.62,10.13,12.23,13.3,1,,1.0,1.0,0.07189072609633357,0.09278169589627033,0.07069851948095063,0.1089028284509306,
26,13.92,1984-03-31,,,,,e)Below18.8,,9.648,10.218,12.386000000000001,13.62,1,,1.0,1.0,0.07183908045977011,0.09041591320072333,0.0707437906780569,0.10889690176638907,
27,13.94,1984-04-30,,,,,e)Below18.8,,9.676,10.306,12.506,13.826,1,,1.0,1.0,0.07173601147776183,0.08653027064994845,0.07078906187516316,0.10889097508184752,
28,12.89,1984-05-31,,,,,e)Below18.8,,9.703999999999999,10.382,12.554,13.784,2,,1.0,1.0,0.07757951900698215,0.08264462809917356,0.07083433307226943,0.10888504839730596,
29,13.16,1984-06-30,,,,,e)Below18.8,,9.732,10.446,12.606,13.742,2,,1.0,2.0,0.07598784194528875,0.0822053884567822,0.0708796042693757,0.10887912171276443,
30,12.3,1984-07-31,,,,,e)Below18.8,,9.76,10.51,12.57,13.7,3,,1.0,2.0,0.08130081300813008,0.08176614881439084,0.07092487546648196,0.10887319502822287,
31,13.05,1984-08-31,,,,,e)Below18.8,,9.772,10.73,12.624,13.62,2,,2.0,3.0,0.07662835249042145,0.08153348091126046,0.07097014666358822,0.10886726834368132,
32,14.05,1984-09-30,,,,,e)Below18.8,,9.784,10.950000000000001,12.706,13.826,1,,1.0,2.0,0.07117437722419928,0.08130081300813008,0.07089349173268729,0.10886134165913978,
33,14.51,1984-10-31,,,,,e)Below18.8,,9.796,11.268,12.844000000000001,13.914,1,,1.0,1.0,0.06891798759476224,0.08068243212456144,0.06992820193018934,0.10885541497459823,
34,14.6,1984-11-30,,,,,e)Below18.8,,9.808,11.684000000000001,12.954,13.924,1,,1.0,1.0,0.0684931506849315,0.08006405124099279,0.06879053652181302,0.10884948829005668,
35,14.8,1984-12-31,,,,,e)Below18.8,,9.82,12.1,13.05,13.94,1,,1.0,1.0,0.06756756756756756,0.07980927303497531,0.06848143043327426,0.10884356160551514,
36,15.43,1985-01-31,,,,,e)Below18.8,,9.826,12.152,13.068,13.996,1,,1.0,1.0,0.06480881399870382,0.07955449482895784,0.06827052925615554,0.10883763492097359,
37,15.61,1985-02-28,,,,,e)Below18.8,,9.832,12.204,13.096,14.034,1,,1.0,1.0,0.06406149903907751,0.07927171818857054,0.067153754532238,0.10883170823643204,
38,15.72,1985-03-31,,,,,e)Below18.8,,9.838,12.244,13.144,14.106,1,,1.0,1.0,0.06361323155216285,0.07898894154818326,0.0647340825027412,0.10882578155189049,
39,16.3,1985-04-30,,,,,e)Below18.8,,9.844,12.272,13.216,14.254000000000001,1,,1.0,1.0,0.06134969325153374,0.0782842302775827,0.06403908566473178,0.10881985486734895,
40,16.99,1985-05-31,,,,,e)Below18.8,,9.85,12.3,13.3,14.51,1,,2.0,1.0,0.05885815185403179,0.07757951900698215,0.06361323155216285,0.1088139281828074,
41,18.06,1985-06-30,,,,,e)Below18.8,,9.904,12.376000000000001,13.54,14.582,1,,2.0,1.0,0.05537098560354375,0.07710393574870181,0.061462870166565195,0.10860883386790784,
