,CAPE,Date,Price
0,9.76,1982-01-31,
1,9.85,1982-02-28,
2,10.13,1982-03-31,
3,10.12,1982-04-30,
4,9.55,1982-05-31,
5,9.18,1982-06-30,
6,9.19,1982-07-31,
7,9.05,1982-08-31,
8,9.59,1982-09-30,
9,9.62,1982-10-31,
10,9.82,1982-11-30,
11,10.51,1982-12-31,
12,10.35,1983-01-31,
13,11.06,1983-02-28,
14,12.49,1983-03-31,
15,13.3,1983-04-30,
16,12.1,1983-05-31,
17,12.66,1983-06-30,
18,13.08,1983-07-31,
19,12.23,1983-08-31,
20,12.57,1983-09-30,
21,13.7,1983-10-31,
22,14.01,1983-11-30,
23,14.19,1983-12-31,
24,14.61,1984-01-31,
25,13.91,1984-02-29,
26,13.92,1984-03-31,
27,13.94,1984-04-30,
28,12.89,1984-05-31,
29,13.16,1984-06-30,
30,12.3,1984-07-31,
31,13.05,1984-08-31,
32,14.05,1984-09-30,
33,14.51,1984-10-31,
34,14.6,1984-11-30,
35,14.8,1984-12-31,
36,15.43,1985-01-31,
37,15.61,1985-02-28,
38,15.72,1985-03-31,
39,16.3,1985-04-30,
40,16.99,1985-05-31,
41,18.06,1985-06-30,
42,17.06,1985-07-31,
43,18.69,1985-08-31,
44,20.09,1985-09-30,
45,22.49,1985-10-31,
46,21.97,1985-11-30,
47,24.57,1985-12-31,
48,24.77,1986-01-31,
49,24.08,1986-02-28,
50,25.85,1986-03-31,
51,27.24,1986-04-30,
52,23.46,1986-05-31,
53,23.09,1986-06-30,
54,21.51,1986-07-31,
55,24.78,1986-08-31,
56,23.38,1986-09-30,
57,23.62,1986-10-31,
58,24.8,1986-11-30,
59,24.14,1986-12-31,
60,21.25,1987-01-31,
61,20.06,1987-02-28,
62,20.38,1987-03-31,
63,20.51,1987-04-30,
64,19.5,1987-05-31,
65,21.03,1987-06-30,
66,21.79,1987-07-31,
67,22.41,1987-08-31,
68,21.91,1987-09-30,
69,17.0,1987-10-31,
70,14.57,1987-11-30,
71,14.13,1987-12-31,
72,13.17,1988-01-31,1083.3399658203125
73,15.45,1988-02-29,1062.3299560546875
74,14.86,1988-03-31,1049.1700439453125
75,14.86,1988-04-30,1075.6600341796875
76,14.78,1988-05-31,1133.81005859375
77,15.71,1988-06-30,1178.530029296875
78,15.89,1988-07-31,1169.4599609375
79,16.08,1988-08-31,1253.6800537109375
80,17.32,1988-09-30,1308.25
81,18.12,1988-10-31,1273.760009765625
82,17.69,1988-11-30,1330.22998046875
83,18.22,1988-12-31,1324.3399658203125
84,18.3,1989-01-31,1289.7900390625
85,17.73,1989-02-28,1319.8800048828125
86,17.71,1989-03-31,1374.0400390625
87,18.54,1989-04-30,1407.050048828125
88,18.35,1989-05-31,1477.219970703125
89,19.41,1989-06-30,1548.6800537109375
90,20.0,1989-07-31,1594.699951171875
91,21.0,1989-08-31,1570.6400146484375
92,20.97,1989-09-30,1464.8699951171875
93,19.65,1989-10-31,1556.4100341796875
94,21.06,1989-11-30,1778.1199951171875
95,23.47,1989-12-31,1821.2099609375
96,24.07,1990-01-31,1806.6300048828125
97,23.69,1990-02-28,1966.75
98,25.42,1990-03-31,1812.9100341796875
