Data,Wartosc
04/09/2020,0.15
08/09/2020,0.16
09/09/2020,0.15
10/09/2020,0.15
11/09/2020,0.15
14/09/2020,0.15
15/09/2020,0.15
16/09/2020,0.15
17/09/2020,0.16
18/09/2020,0.16
21/09/2020,0.15
22/09/2020,0.15
23/09/2020,0.15
24/09/2020,0.14
25/09/2020,0.15
28/09/2020,0.15
29/09/2020,0.15
30/09/2020,0.15
01/10/2020,0.14
02/10/2020,0.14
05/10/2020,0.14
06/10/2020,0.14
07/10/2020,0.15
08/10/2020,0.15
09/10/2020,0.15
13/10/2020,0.15
14/10/2020,0.15
15/10/2020,0.15
16/10/2020,0.15
19/10/2020,0.14
20/10/2020,0.15
21/10/2020,0.15
22/10/2020,0.15
23/10/2020,0.16
26/10/2020,0.15
27/10/2020,0.14
28/10/2020,0.15
29/10/2020,0.15
30/10/2020,0.14
02/11/2020,0.14
03/11/2020,0.14
04/11/2020,0.14
05/11/2020,0.13
06/11/2020,0.13
09/11/2020,0.13
10/11/2020,0.14
12/11/2020,0.14
13/11/2020,0.14
16/11/2020,0.14
17/11/2020,0.15
18/11/2020,0.15
19/11/2020,0.15
20/11/2020,0.15
23/11/2020,0.15
24/11/2020,0.14
25/11/2020,0.15
27/11/2020,0.15
30/11/2020,0.15
01/12/2020,0.15
02/12/2020,0.15
03/12/2020,0.15
07/12/2020,0.15
08/12/2020,0.15
09/12/2020,0.15
10/12/2020,0.15
11/12/2020,0.16
14/12/2020,0.15
15/12/2020,0.15
16/12/2020,0.16
17/12/2020,0.15
18/12/2020,0.14
21/12/2020,0.15
22/12/2020,0.14
23/12/2020,0.15
24/12/2020,0.15
29/12/2020,0.15
30/12/2020,0.14
31/12/2020,0.14
04/01/2021,0.14
05/01/2021,0.13
06/01/2021,0.13
07/01/2021,0.13
08/01/2021,0.13
11/01/2021,0.13
12/01/2021,0.13
13/01/2021,0.13
14/01/2021,0.13
15/01/2021,0.13
19/01/2021,0.13
20/01/2021,0.13
21/01/2021,0.13
22/01/2021,0.12
25/01/2021,0.13
26/01/2021,0.12
27/01/2021,0.12
28/01/2021,0.12
29/01/2021,0.12
01/02/2021,0.11
02/02/2021,0.12
03/02/2021,0.11
04/02/2021,0.12
05/02/2021,0.12
08/02/2021,0.12
09/02/2021,0.12
10/02/2021,0.11
11/02/2021,0.11
12/02/2021,0.11
16/02/2021,0.11
17/02/2021,0.11
18/02/2021,0.11
19/02/2021,0.12
22/02/2021,0.11
23/02/2021,0.12
24/02/2021,0.11
25/02/2021,0.12
26/02/2021,0.12
01/03/2021,0.11
02/03/2021,0.11
03/03/2021,0.1
04/03/2021,0.1
05/03/2021,0.1
08/03/2021,0.11
09/03/2021,0.11
10/03/2021,0.11
11/03/2021,0.11
12/03/2021,0.11
15/03/2021,0.11
16/03/2021,0.11
17/03/2021,0.11
18/03/2021,0.11
19/03/2021,0.11
22/03/2021,0.11
23/03/2021,0.11
24/03/2021,0.11
25/03/2021,0.11
26/03/2021,0.11
29/03/2021,0.11
30/03/2021,0.12
31/03/2021,0.11
01/04/2021,0.11
06/04/2021,0.11
07/04/2021,0.11
08/04/2021,0.11
09/04/2021,0.11
12/04/2021,0.11
13/04/2021,0.11
14/04/2021,0.12
15/04/2021,0.12
16/04/2021,0.12
19/04/2021,0.11
20/04/2021,0.11
21/04/2021,0.11
22/04/2021,0.11
23/04/2021,0.11
26/04/2021,0.11
27/04/2021,0.11
28/04/2021,0.11
29/04/2021,0.11
30/04/2021,0.11
